WaveLength,Module1,Min%, Max%, Modue2,Min%, Max%
582,732.9292,-5.00,5.00,1108.1350,-5.00,5.00,
583,727.3657,-5.00,5.00,1101.0260,-5.00,5.00,
584,720.2756,-5.00,5.00,1095.2730,-5.00,5.00,
585,720.8364,-5.00,5.00,1094.8380,-5.00,5.00,
586,724.1138,-5.00,5.00,1104.9380,-5.00,5.00,
587,729.4822,-5.00,5.00,1114.0190,-5.00,5.00,
588,744.8206,-5.00,5.00,1126.0500,-5.00,5.00,
589,752.1066,-5.00,5.00,1137.4360,-5.00,5.00,
590,756.8405,-5.00,5.00,1154.8650,-5.00,5.00,
591,759.5134,-5.00,5.00,1158.3400,-5.00,5.00,
592,757.5200,-5.00,5.00,1158.0700,-5.00,5.00,
593,754.0233,-5.00,5.00,1153.5510,-5.00,5.00,
594,750.4880,-5.00,5.00,1142.2390,-5.00,5.00,
595,746.5901,-5.00,5.00,1137.4970,-5.00,5.00,
596,742.0604,-5.00,5.00,1132.6040,-5.00,5.00,
597,740.2394,-5.00,5.00,1128.8640,-5.00,5.00,
598,739.0276,-5.00,5.00,1126.0030,-5.00,5.00,
599,737.7772,-5.00,5.00,1125.0620,-5.00,5.00,
600,735.3404,-5.00,5.00,1123.3450,-5.00,5.00,
601,734.6831,-5.00,5.00,1123.4920,-5.00,5.00,
602,731.7780,-5.00,5.00,1116.2280,-5.00,5.00,
603,728.5843,-5.00,5.00,1110.8130,-5.00,5.00,
604,719.4781,-5.00,5.00,1104.7910,-5.00,5.00,
605,714.7145,-5.00,5.00,1097.8320,-5.00,5.00,
606,710.1072,-5.00,5.00,1082.5600,-5.00,5.00,
607,705.3202,-5.00,5.00,1076.8950,-5.00,5.00,
608,697.3999,-5.00,5.00,1070.4210,-5.00,5.00,
609,694.4174,-5.00,5.00,1065.9580,-5.00,5.00,
610,690.7791,-5.00,5.00,1055.9320,-5.00,5.00,
611,686.1266,-5.00,5.00,1049.5250,-5.00,5.00,
612,676.4200,-5.00,5.00,1041.1440,-5.00,5.00,
613,671.4935,-5.00,5.00,1033.5900,-5.00,5.00,
614,667.6797,-5.00,5.00,1020.3170,-5.00,5.00,
615,663.2288,-5.00,5.00,1016.0760,-5.00,5.00,
616,660.3838,-5.00,5.00,1013.4030,-5.00,5.00,
617,659.8878,-5.00,5.00,1013.3930,-5.00,5.00,
618,662.8640,-5.00,5.00,1019.4860,-5.00,5.00,
619,665.1552,-5.00,5.00,1024.5670,-5.00,5.00,
620,670.3034,-5.00,5.00,1028.6140,-5.00,5.00,
621,672.4628,-5.00,5.00,1033.0620,-5.00,5.00,
622,673.3906,-5.00,5.00,1036.8150,-5.00,5.00,
623,672.3317,-5.00,5.00,1034.9450,-5.00,5.00,
624,667.4910,-5.00,5.00,1031.6740,-5.00,5.00,
625,664.8480,-5.00,5.00,1028.1280,-5.00,5.00,
626,661.3344,-5.00,5.00,1016.6950,-5.00,5.00,
627,657.3785,-5.00,5.00,1012.8450,-5.00,5.00,
628,652.6252,-5.00,5.00,1009.5770,-5.00,5.00,
629,651.8665,-5.00,5.00,1008.9480,-5.00,5.00,
630,651.6104,-5.00,5.00,1007.0260,-5.00,5.00,
631,650.5700,-5.00,5.00,1007.4560,-5.00,5.00,
632,649.5392,-5.00,5.00,1005.5900,-5.00,5.00,
633,647.1027,-5.00,5.00,1003.3220,-5.00,5.00,
634,643.5230,-5.00,5.00,993.8486,-5.00,5.00,
635,638.9663,-5.00,5.00,985.9756,-5.00,5.00,
636,627.9427,-5.00,5.00,979.3682,-5.00,5.00,
637,622.2210,-5.00,5.00,969.3085,-5.00,5.00,
638,616.4116,-5.00,5.00,954.5269,-5.00,5.00,
639,612.3918,-5.00,5.00,948.5866,-5.00,5.00,
640,608.3042,-5.00,5.00,944.9633,-5.00,5.00,
641,608.6949,-5.00,5.00,944.4950,-5.00,5.00,
642,610.5947,-5.00,5.00,949.0785,-5.00,5.00,
643,613.2758,-5.00,5.00,954.7540,-5.00,5.00,
644,619.9313,-5.00,5.00,960.1451,-5.00,5.00,
645,624.9811,-5.00,5.00,974.4615,-5.00,5.00,
646,628.3430,-5.00,5.00,980.8665,-5.00,5.00,
647,635.6802,-5.00,5.00,987.2752,-5.00,5.00,
648,637.8741,-5.00,5.00,991.5333,-5.00,5.00,
