SerialNumber,Test Pass/Fail Status,errCode,errStr,TesterID,config,StartTime,EndTime,TestTime,INIT::TSTR_SW,INIT::LIGHT_SOURCE,INIT::SPECTROMETER,INIT::CG_SN,UNIF::INT_AVG,UNIF::INT_PCT_MAX,UNIF::INT_PCT_MIN,UNIF::INT_DRK_PXL_CNT_PCT,UNIF::INT_HOT_PXL_CNT_PCT,UNIF::EXT_PCT_MAX,UNIF::EXT_PCT_MIN,UNIF::LF_INT_PCT_MAX,UNIF::LF_INT_PCT_MIN,UNIF::LF_INT_DRK_PXL_CNT_PCT,UNIF::LF_INT_HOT_PXL_CNT_PCT,UNIF::LF_EXT_PCT_MAX,UNIF::LF_EXT_PCT_MIN,UNIF::HF_INT_PCT_MAX,UNIF::HF_INT_PCT_MIN,UNIF::HF_INT_DRK_PXL_CNT_PCT,UNIF::HF_INT_HOT_PXL_CNT_PCT,UNIF::HF_EXT_PCT_MAX,UNIF::HF_EXT_PCT_MIN,T::TP1_XPOS,T::TP1_YPOS,T::TP1_APOS,T::TP1_T_PCT_400,T::TP1_T_PCT_410,T::TP1_T_PCT_420,T::TP1_T_PCT_450,T::TP1_T_PCT_500,T::TP1_T_PCT_550,T::TP1_T_PCT_600,T::TP1_T_PCT_650,T::TP1_T_PCT_700,T::TP1_T_PCT_750,T::TP1_T_PCT_800,T::TP1_T_PCT_850,T::TP1_T_PCT_900,T::TP1_T_PCT_950,T::TP1_T_PCT_1000,T::TP1_T_PCT_1050,T::TP1_T_PCT_1100,T::TP1_TILT_400,T::TP1_TILT_450,T::TP1_TILT_500,T::TP1_TILT_550,T::TP1_TILT_600,T::TP1_TILT_650,T::TP1_TILT_700,T::TP1_TILT_750,T::TP1_TILT_800,T::TP1_TILT_850,T::TP1_TILT_900,T::TP1_TILT_950,T::TP1_TILT_1000,T::TP1_TILT_1050,T::TP1_TILT_1100,T::TP2_XPOS,T::TP2_YPOS,T::TP2_APOS,T::TP2_T_PCT_400,T::TP2_T_PCT_410,T::TP2_T_PCT_420,T::TP2_T_PCT_450,T::TP2_T_PCT_500,T::TP2_T_PCT_550,T::TP2_T_PCT_600,T::TP2_T_PCT_650,T::TP2_T_PCT_700,T::TP2_T_PCT_750,T::TP2_T_PCT_800,T::TP2_T_PCT_850,T::TP2_T_PCT_900,T::TP2_T_PCT_950,T::TP2_T_PCT_1000,T::TP2_T_PCT_1050,T::TP2_T_PCT_1100,T::TP2_TILT_400,T::TP2_TILT_450,T::TP2_TILT_500,T::TP2_TILT_550,T::TP2_TILT_600,T::TP2_TILT_650,T::TP2_TILT_700,T::TP2_TILT_750,T::TP2_TILT_800,T::TP2_TILT_850,T::TP2_TILT_900,T::TP2_TILT_950,T::TP2_TILT_1000,T::TP2_TILT_1050,T::TP2_TILT_1100,T::TP3_XPOS,T::TP3_YPOS,T::TP3_APOS,T::TP3_T_PCT_410,T::TP3_T_PCT_420,T::TP3_T_PCT_400,T::TP3_T_PCT_450,T::TP3_T_PCT_500,T::TP3_T_PCT_550,T::TP3_T_PCT_600,T::TP3_T_PCT_650,T::TP3_T_PCT_700,T::TP3_T_PCT_750,T::TP3_T_PCT_800,T::TP3_T_PCT_850,T::TP3_T_PCT_900,T::TP3_T_PCT_950,T::TP3_T_PCT_1000,T::TP3_T_PCT_1050,T::TP3_T_PCT_1100,T::TP3_TILT_400,T::TP3_TILT_450,T::TP3_TILT_500,T::TP3_TILT_550,T::TP3_TILT_600,T::TP3_TILT_650,T::TP3_TILT_700,T::TP3_TILT_750,T::TP3_TILT_800,T::TP3_TILT_850,T::TP3_TILT_900,T::TP3_TILT_950,T::TP3_TILT_1000,T::TP3_TILT_1050,T::TP3_TILT_1100,T::TP4_XPOS,T::TP4_YPOS,T::TP4_APOS,T::TP4_T_PCT_410,T::TP4_T_PCT_420,T::TP4_T_PCT_400,T::TP4_T_PCT_450,T::TP4_T_PCT_500,T::TP4_T_PCT_550,T::TP4_T_PCT_600,T::TP4_T_PCT_650,T::TP4_T_PCT_700,T::TP4_T_PCT_750,T::TP4_T_PCT_800,T::TP4_T_PCT_850,T::TP4_T_PCT_900,T::TP4_T_PCT_950,T::TP4_T_PCT_1000,T::TP4_T_PCT_1050,T::TP4_T_PCT_1100,T::TP4_TILT_400,T::TP4_TILT_450,T::TP4_TILT_500,T::TP4_TILT_550,T::TP4_TILT_600,T::TP4_TILT_650,T::TP4_TILT_700,T::TP4_TILT_750,T::TP4_TILT_800,T::TP4_TILT_850,T::TP4_TILT_900,T::TP4_TILT_950,T::TP4_TILT_1000,T::TP4_TILT_1050,T::TP4_TILT_1100,T::TP5_XPOS,T::TP5_YPOS,T::TP5_APOS,T::TP5_T_PCT_410,T::TP5_T_PCT_420,T::TP5_T_PCT_400,T::TP5_T_PCT_450,T::TP5_T_PCT_500,T::TP5_T_PCT_550,T::TP5_T_PCT_600,T::TP5_T_PCT_650,T::TP5_T_PCT_700,T::TP5_T_PCT_750,T::TP5_T_PCT_800,T::TP5_T_PCT_850,T::TP5_T_PCT_900,T::TP5_T_PCT_950,T::TP5_T_PCT_1000,T::TP5_T_PCT_1050,T::TP5_T_PCT_1100,T::TP5_TILT_400,T::TP5_TILT_450,T::TP5_TILT_500,T::TP5_TILT_550,T::TP5_TILT_600,T::TP5_TILT_650,T::TP5_TILT_700,T::TP5_TILT_750,T::TP5_TILT_800,T::TP5_TILT_850,T::TP5_TILT_900,T::TP5_TILT_950,T::TP5_TILT_1000,T::TP5_TILT_1050,T::TP5_TILT_1100,T::T_PCT_STDEV_400,T::T_PCT_STDEV_450,T::T_PCT_STDEV_500,T::T_PCT_STDEV_550,T::T_PCT_STDEV_600,T::T_PCT_STDEV_650,T::T_PCT_STDEV_700,T::T_PCT_STDEV_750,T::T_PCT_STDEV_800,T::T_PCT_STDEV_850,T::T_PCT_STDEV_900,T::T_PCT_STDEV_950,T::T_PCT_STDEV_1000,T::T_PCT_STDEV_1050,T::T_PCT_STDEV_1100,POST::FDR_POST_RESULT,POST::FDR_POST_TIME,POST::FDR_CONFIRM_RESULT,POST::FDR_CONFIRM_TIME
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363271645HL9502,PASS,0,,Machine04A_golden,,10/8/2016 18:17,10/8/2016 18:17,7.08,Version 16.8.10.12,LS,CAS140,20363271645HL9502111651148802159080758798743,182.036938,36.236086,-63.194283,23.155933,28.630215,34.588069,-91.210575,31.841374,-43.967416,23.604698,25.97003,19.755915,-74.730403,14.832155,-35.707039,0.435804,0.129607,14.832155,-45.595142,1229.353882,963.203369,-0.005226,1.618287,1.77982,1.947757,2.360839,3.123665,3.971878,4.493933,5.36243,6.430693,8.961231,11.622008,13.484554,15.839714,18.023848,19.82748,21.272295,22.061142,40.743629,59.438877,78.644539,100,113.143799,135.009949,161.905624,225.617004,292.607422,339.500763,398.796631,453.78656,499.196686,535.572754,555.433594,1229.353882,963.203369,-0.005226,1.550355,1.670533,1.805595,2.202618,2.931049,3.739974,4.256819,5.063266,6.080006,8.556904,11.199847,13.005933,15.256912,17.495497,19.250332,20.640587,21.418554,41.453629,58.893944,78.37085,100,113.819504,135.382416,162.568146,228.795837,299.463257,347.754669,407.941711,467.797333,514.718384,551.891235,572.692688,1229.353882,963.203369,-0.005226,1.57008,1.724129,1.423101,2.093584,2.802802,3.578596,4.071174,4.86905,5.870648,8.256698,10.855191,12.674836,14.900609,17.039845,18.758507,20.174156,21.087729,39.767014,58.50296,78.321289,100,113.764557,136.060349,164.04895,230.724518,303.336609,354.184662,416.38147,476.160095,524.186279,563.745056,589.273804,1229.353882,963.203369,-0.005226,1.559902,1.696082,1.427504,2.063618,2.744543,3.532544,4.001207,4.793859,5.767306,8.118164,10.679419,12.448372,14.720991,16.827677,18.561743,20.036663,20.807493,40.410088,58.417339,77.693108,100,113.267029,135.705566,163.262131,229.810715,302.315247,352.391144,416.724915,476.36142,525.449768,567.202087,589.022949,1229.353882,963.203369,-0.005226,1.440217,1.559177,1.327223,1.902547,2.543419,3.276704,3.725308,4.476502,5.400195,7.690858,10.13806,11.872293,14.093351,16.197401,17.88373,19.274933,20.104774,40.504829,58.062851,77.621269,100,113.690712,136.616028,164.805725,234.713272,309.398132,362.32428,430.107605,494.320007,545.78418,588.241577,613.567078,0.114928,0.170209,0.215996,0.257598,0.287355,0.328338,0.38139,0.476396,0.557318,0.603765,0.646869,0.689376,0.731552,0.740818,0.724806,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363270627HL9509,PASS,0,,Machine04A_golden,,10/8/2016 18:17,10/8/2016 18:17,7.064,Version 16.8.10.12,LS,CAS140,20363270627HL9502111651139786161079711806743,191.918445,32.347884,-45.810315,27.792629,26.148239,32.347884,-92.705235,31.826829,-30.178676,27.640339,25.143784,24.532064,-74.989376,14.068476,-48.979138,0.584852,0.997975,14.068476,-52.105466,1261.716309,977.948608,-0.003961,1.60269,1.737033,1.881277,2.310708,3.092995,3.972937,4.509096,5.404671,6.488837,9.065855,11.754364,13.649929,15.996586,18.245726,19.934622,21.474352,22.343206,40.340172,58.161217,77.851616,100,113.495277,136.037186,163.325958,228.190277,295.86084,343.572784,402.638824,459.250366,501.760376,540.515869,562.385193,1261.716309,977.948608,-0.003961,1.578997,1.711758,1.855746,2.271955,3.062351,3.907275,4.454625,5.339293,6.410707,8.980588,11.660024,13.541932,15.83494,18.087202,19.771158,21.300528,22.166523,40.411724,58.146805,78.375641,100,114.008484,136.650055,164.071075,229.842758,298.418335,346.58252,405.268158,462.91095,506.008911,545.150513,567.314148,1261.716309,977.948608,-0.003961,1.604436,1.743707,1.483462,2.127621,2.869312,3.691942,4.200326,5.054257,6.086501,8.571666,11.203449,13.091414,15.352225,17.508318,19.227741,20.67416,21.491323,40.181072,57.628777,77.718246,100,113.770119,136.899704,164.85907,232.172302,303.456818,354.594269,415.830658,474.230621,520.802917,559.980652,582.11438,1261.716309,977.948608,-0.003961,1.605692,1.756398,1.473771,2.14916,2.891116,3.714252,4.234437,5.101723,6.12426,8.609327,11.253343,13.11285,15.470697,17.601595,19.341354,20.800627,21.535162,39.678806,57.862537,77.838448,100,114.005127,137.355347,164.885452,231.791718,302.977386,353.041534,416.522583,473.893463,520.733521,560.022034,579.798157,1261.716309,977.948608,-0.003961,1.564566,1.704604,1.436026,2.087789,2.806939,3.619159,4.109699,4.955461,5.947501,8.399382,10.99917,12.818244,15.105998,17.258804,18.937866,20.394436,21.276524,39.678444,57.687134,77.55777,100,113.553986,136.922989,164.333771,232.081024,303.9151,354.177429,417.38974,476.873352,523.267029,563.513123,587.885864,0.071966,0.096555,0.125863,0.151133,0.171802,0.19223,0.228873,0.284792,0.320402,0.344705,0.361645,0.412519,0.406573,0.447946,0.464179,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363272052HL9505,PASS,0,,Machine04A_golden,,10/8/2016 18:17,10/8/2016 18:17,7.08,Version 16.8.10.12,LS,CAS140,20363272052HL9502112651140789158079716795743,193.99326,30.932384,-84.020063,24.560551,23.931957,30.932384,-92.267773,30.416902,-36.595735,24.264074,23.373026,27.839493,-70.102054,13.918009,-51.548183,0.968813,1.069259,13.918009,-51.548183,1277.684204,968.205566,-0.001919,1.443865,1.596595,1.751587,2.125154,2.840348,3.629612,4.113025,4.911905,5.917969,8.319006,10.887112,12.660558,14.935655,17.100323,18.811182,20.250027,21.10408,39.780132,58.550453,78.254852,100,113.318588,135.328644,163.046875,229.198196,299.952484,348.812958,411.494507,471.133606,518.269714,557.91156,581.441711,1277.684204,968.205566,-0.001919,1.521751,1.651585,1.785343,2.174674,2.882746,3.681369,4.176659,4.96907,5.990835,8.414243,11.009562,12.814333,15.056706,17.253796,19.01366,20.426567,21.250467,41.33654,59.072418,78.306351,100,113.453949,134.978867,162.733871,228.562851,299.061615,348.08606,408.997437,468.678772,516.483337,554.863281,577.243591,1277.684204,968.205566,-0.001919,1.599463,1.747162,1.456249,2.11681,2.807442,3.589856,4.05728,4.845592,5.838853,8.228985,10.810283,12.603336,14.819683,16.951542,18.716496,20.130659,20.925722,40.565681,58.966438,78.20488,100,113.020683,134.980148,162.648666,229.228836,301.134155,351.08197,412.821106,472.206726,521.371765,560.765137,582.912598,1277.684204,968.205566,-0.001919,1.600111,1.74284,1.460605,2.121193,2.809726,3.589334,4.053785,4.835575,5.821155,8.177596,10.726302,12.516858,14.784102,16.903948,18.661409,20.060806,20.882652,40.692932,59.09713,78.279877,100,112.939751,134.720657,162.179245,227.83046,298.838226,348.723694,411.889832,470.949402,519.912842,558.900513,581.797424,1277.684204,968.205566,-0.001919,1.527103,1.663417,1.39474,2.014623,2.667165,3.414298,3.873676,4.61134,5.559225,7.877973,10.350575,12.10079,14.335358,16.457348,18.145201,19.51325,20.399845,40.849979,59.00547,78.1175,100,113.454521,135.059662,162.821884,230.734756,303.153809,354.415131,419.862457,482.012604,531.447449,571.515686,597.482849,0.045395,0.05848,0.081023,0.100467,0.112974,0.136038,0.163543,0.203127,0.249839,0.267975,0.273813,0.299307,0.322368,0.343907,0.322027,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363270590HL950W,PASS,0,,Machine04A_golden,,10/8/2016 18:18,10/8/2016 18:18,7.086,Version 16.8.10.12,LS,CAS140,20363270590HL9502112651124753158079639794743,193.240713,31.442281,-72.573067,24.581614,26.036453,31.442281,-92.75515,30.407302,-34.27886,23.672741,24.455244,25.749898,-71.538089,13.972211,-51.748929,1.069259,0.54111,13.972211,-51.748929,1259.388916,967.607849,-0.003071,1.458315,1.559827,1.678326,2.051309,2.776161,3.554321,4.054774,4.866017,5.879251,8.251801,10.819758,12.621408,14.896233,17.01161,18.784416,20.194748,21.124495,41.029358,57.713108,78.106651,100,114.080116,136.904266,165.411346,232.162506,304.411377,355.100403,419.102051,478.617676,528.495178,568.1745,594.332764,1259.388916,967.607849,-0.003071,1.433399,1.566649,1.703774,2.071909,2.796711,3.567684,4.071215,4.872395,5.880574,8.273981,10.86596,12.665751,14.902919,17.082598,18.805927,20.266783,21.039143,40.177303,58.074333,78.390083,100,114.113655,136.570236,164.828888,231.914597,304.566162,355.013214,417.719666,478.814697,527.118591,568.06543,589.714233,1259.388916,967.607849,-0.003071,1.5319,1.680836,1.394371,2.039828,2.73859,3.518111,3.988427,4.804472,5.789867,8.152589,10.738856,12.544296,14.771559,16.887238,18.618528,20.050762,20.780409,39.634087,57.980774,77.842613,100,113.368416,136.563965,164.573166,231.731964,305.244934,356.563354,419.871796,480.008606,529.21936,569.929688,590.669434,1259.388916,967.607849,-0.003071,1.574641,1.710926,1.435836,2.087293,2.799023,3.569225,4.068939,4.881233,5.871639,8.227527,10.800743,12.627645,14.904165,16.982046,18.760023,20.165533,21.063713,40.228222,58.480286,78.421051,100,114.000633,136.758911,164.507416,230.513,302.607574,353.792389,417.57431,475.790924,525.60498,564.983582,590.148193,1259.388916,967.607849,-0.003071,1.468873,1.597699,1.34433,1.954661,2.621495,3.358138,3.819164,4.605062,5.548271,7.851239,10.349749,12.124463,14.359342,16.483673,18.184935,19.632927,20.306763,40.032013,58.206684,78.063942,100,113.72863,137.131424,165.218674,233.797379,308.199036,361.047211,427.598328,490.857544,541.518433,584.637329,604.703064,0.04487,0.051625,0.073906,0.089256,0.106839,0.116242,0.14247,0.173925,0.20922,0.223663,0.234625,0.237415,0.259766,0.252243,0.337606,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363271645HL9502,PASS,0,,Machine04A_golden,,10/8/2016 18:18,10/8/2016 18:18,7.087,Version 16.8.10.12,LS,CAS140,20363271645HL9502111651148802159080758798743,182.134338,36.712277,-63.213966,23.128391,28.983393,35.614186,-91.764321,31.770869,-44.546426,23.60956,26.444715,20.789963,-75.842007,14.824223,-36.236989,0.443904,0.132847,14.824223,-46.119804,1218.034546,963.745239,-0.005265,1.64029,1.792594,1.953353,2.368633,3.130738,3.9874,4.507847,5.384573,6.453578,8.974107,11.636582,13.515685,15.864448,18.089405,19.821083,21.313049,22.236565,41.136833,59.402935,78.515762,100,113.052277,135.039703,161.849258,225.061615,291.833801,338.959839,397.864441,453.664124,497.092865,534.509888,557.670715,1218.034546,963.745239,-0.005265,1.459112,1.631246,1.802367,2.192019,2.909847,3.733495,4.226756,5.044214,6.083004,8.538913,11.169396,12.984866,15.24878,17.467363,19.177383,20.609066,21.469139,39.081661,58.712242,77.938965,100,113.211777,135.10704,162.930573,228.710983,299.167328,347.793854,408.431824,467.855591,513.657715,552.0047,575.041321,1218.034546,963.745239,-0.005265,1.579059,1.71608,1.451915,2.103375,2.797742,3.569455,4.05135,4.871461,5.874188,8.252714,10.859614,12.685675,14.889215,17.072235,18.740114,20.201418,21.087141,40.67609,58.927071,78.380089,100,113.500511,136.476318,164.568222,231.203766,304.237335,355.395294,417.12851,478.286896,525.013367,565.952454,590.766418,1218.034546,963.745239,-0.005265,1.553916,1.695292,1.417519,2.070623,2.756512,3.538033,3.997924,4.801246,5.792132,8.143446,10.695591,12.470815,14.74217,16.913012,18.605045,20.052343,20.775911,40.065174,58.524696,77.910851,100,112.998497,135.703812,163.71051,230.168747,302.303314,352.47876,416.677002,478.034302,525.858459,566.76532,587.216431,1218.034546,963.745239,-0.005265,1.437967,1.570173,1.31184,1.916624,2.55028,3.286826,3.724321,4.488795,5.412774,7.702914,10.156894,11.897943,14.117532,16.251575,17.879055,19.325012,20.295511,39.912052,58.31229,77.59095,100,113.310555,136.56929,164.680878,234.357208,309.01828,361.988831,429.518646,494.445862,543.961121,587.953552,617.48053,0.118588,0.166249,0.213013,0.25889,0.289963,0.329255,0.383065,0.472293,0.550155,0.600398,0.64476,0.680478,0.718478,0.732025,0.73381,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363270627HL9509,PASS,0,,Machine04A_golden,,10/8/2016 18:18,10/8/2016 18:18,7.088,Version 16.8.10.12,LS,CAS140,20363270627HL9502111651139786161079711806743,191.634313,32.544112,-46.773624,28.213852,26.820576,32.544112,-92.172592,32.022285,-30.075153,27.975698,25.655731,26.282186,-72.343158,14.089335,-49.573585,0.610774,0.626975,14.089335,-52.182721,1249.011353,977.084717,-0.004415,1.570785,1.72827,1.894086,2.315169,3.092379,3.990511,4.527122,5.418247,6.51424,9.094615,11.779943,13.662709,16.03034,18.243446,19.984278,21.528614,22.213501,39.363014,58.016853,77.493309,100,113.447189,135.77829,163.243256,227.906036,295.198883,342.379974,401.711517,457.170715,500.794983,539.495239,556.658081,1249.011353,977.084717,-0.004415,1.499621,1.679562,1.851151,2.270631,3.055575,3.90983,4.456042,5.329222,6.411023,8.980597,11.668324,13.52429,15.842251,18.072203,19.77861,21.251705,22.097895,38.355152,58.074928,78.151093,100,113.97023,136.303177,163.971939,229.69281,298.435608,345.904846,405.190338,462.224823,505.868866,543.545593,565.188171,1249.011353,977.084717,-0.004415,1.588398,1.739001,1.449948,2.1271,2.86865,3.688777,4.208633,5.049016,6.092898,8.572255,11.226552,13.08783,15.345058,17.480772,19.232962,20.676792,21.346056,39.307022,57.664089,77.766975,100,114.092911,136.875076,165.173935,232.387466,304.343475,354.801331,415.993103,473.890747,521.391296,560.532471,578.67572,1249.011353,977.084717,-0.004415,1.601197,1.754822,1.452355,2.155759,2.89094,3.71562,4.228392,5.099457,6.12417,8.612746,11.252959,13.138373,15.480886,17.581165,19.361704,20.806944,21.751146,39.087814,58.01881,77.805046,100,113.80043,137.243774,164.822281,231.79837,302.855499,353.598389,416.643372,473.169098,521.089478,559.985779,585.397461,1249.011353,977.084717,-0.004415,1.54598,1.701414,1.389025,2.086428,2.804619,3.599339,4.126732,4.948318,5.952975,8.404531,10.994035,12.828485,15.126843,17.244591,18.956772,20.379463,21.276371,38.591106,57.966965,77.92038,100,114.652481,137.4785,165.390762,233.502029,305.445892,356.412231,420.267212,479.10434,526.673645,566.200073,591.118774,0.067598,0.097493,0.124873,0.162997,0.172475,0.197312,0.234362,0.29166,0.328498,0.339847,0.367709,0.418468,0.415568,0.459394,0.425004,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363272052HL9505,PASS,0,,Machine04A_golden,,10/8/2016 18:18,10/8/2016 18:18,6.912,Version 16.8.10.12,LS,CAS140,20363272052HL9502112651140789158079716795743,194.171422,30.812247,-83.519717,24.319157,24.029161,30.812247,-92.274867,30.297238,-36.653912,24.035641,23.45565,27.207185,-69.099469,13.905239,-51.500885,0.947752,1.046578,13.905239,-51.500885,1294.335815,968.697144,-0.001732,1.479774,1.616369,1.759436,2.128026,2.834449,3.635223,4.124215,4.91901,5.926772,8.319032,10.886988,12.667929,14.945819,17.110008,18.828253,20.275869,20.952951,40.706547,58.539085,77.971809,100,113.451515,135.315247,163.037369,228.845169,299.486145,348.477386,411.139008,470.672882,517.939453,557.761414,576.387024,1294.335815,968.697144,-0.001732,1.539591,1.660619,1.792232,2.172231,2.873892,3.689838,4.181392,4.984867,5.99699,8.431126,11.030309,12.833117,15.077543,17.295979,18.997902,20.461946,21.162014,41.725166,58.870632,77.886658,100,113.321831,135.097168,162.527161,228.495789,298.937439,347.796173,408.623413,468.746246,514.87085,554.548584,573.521423,1294.335815,968.697144,-0.001732,1.603741,1.737062,1.4797,2.104072,2.792262,3.570999,4.046121,4.841918,5.820902,8.203082,10.791211,12.590592,14.788308,16.920179,18.665819,20.077896,20.819777,41.436577,58.921104,78.192734,100,113.305023,135.590012,163.004883,229.713943,302.190277,352.57901,414.122498,473.822083,522.705811,562.248779,583.023926,1294.335815,968.697144,-0.001732,1.619906,1.754364,1.49373,2.111578,2.805163,3.578482,4.044605,4.835373,5.816347,8.17094,10.716082,12.500587,14.768297,16.885912,18.629522,20.056437,20.661913,41.741993,59.007656,78.389755,100,113.025726,135.123581,162.536697,228.335388,299.458893,349.326569,412.697266,471.873627,520.59845,560.473328,577.39325,1294.335815,968.697144,-0.001732,1.521817,1.667681,1.383937,2.012662,2.672867,3.400483,3.857185,4.622735,5.544284,7.859171,10.355792,12.082687,14.322266,16.442219,18.109241,19.519623,20.406086,40.698254,59.187531,78.602554,100,113.430496,135.943466,163.044006,231.119247,304.538849,355.322662,421.183258,483.52594,532.549072,574.024963,600.09375,0.0567,0.058348,0.075506,0.108742,0.122465,0.136433,0.172303,0.214797,0.252687,0.280805,0.285374,0.318712,0.333851,0.353135,0.286825,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
